gene_id,gene_name,cluster_id
ENSG00000112697.17,TMEM30A,1
ENSG00000112701.18,SENP6,13
ENSG00000112851.15,ERBIN,1
ENSG00000112972.15,HMGCS1,1
ENSG00000112992.18,NNT,3
ENSG00000112996.11,MRPS30,9
ENSG00000113068.10,PFDN1,10
ENSG00000113161.17,HMGCR,1
ENSG00000113194.13,FAF2,13
ENSG00000113272.14,THG1L,12
ENSG00000113282.14,CLINT1,13
ENSG00000113300.13,CNOT6,1
ENSG00000113318.11,MSH3,14
ENSG00000113368.12,LMNB1,1
ENSG00000113460.13,BRIX1,14
ENSG00000113569.16,NUP155,1
ENSG00000113575.10,PPP2CA,1
ENSG00000113643.9,RARS1,13
ENSG00000113648.17,MACROH2A1,9
ENSG00000113712.19,CSNK1A1,1
ENSG00000113742.14,CPEB4,13
ENSG00000113758.14,DBN1,13
ENSG00000113810.16,SMC4,1
ENSG00000113811.12,SELENOK,13
ENSG00000114030.13,KPNA1,13
ENSG00000114062.22,UBE3A,9
ENSG00000114098.18,ARMC8,3
ENSG00000114120.14,SLC25A36,9
ENSG00000114126.18,TFDP2,1
ENSG00000114316.13,USP4,9
ENSG00000114353.17,GNAI2,12
ENSG00000114416.18,FXR1,1
ENSG00000114439.19,BBX,12
ENSG00000114450.11,GNB4,13
ENSG00000114520.11,SNX4,1
ENSG00000114738.11,MAPKAPK3,12
ENSG00000114744.9,COMMD2,12
ENSG00000114796.16,KLHL24,13
ENSG00000114857.19,NKTR,13
ENSG00000114978.18,MOB1A,2
ENSG00000115091.12,ACTR3,12
ENSG00000115233.12,PSMD14,3
ENSG00000115306.16,SPTBN1,12
ENSG00000115310.19,RTN4,14
ENSG00000115392.12,FANCL,13
ENSG00000115419.13,GLS,9
ENSG00000115486.13,GGCX,9
ENSG00000115514.12,TXNDC9,3
ENSG00000115540.15,MOB4,14
ENSG00000115561.16,CHMP3,1
ENSG00000115806.13,GORASP2,3
ENSG00000115866.11,DARS1,9
ENSG00000115942.9,ORC2,13
ENSG00000115946.8,PNO1,13
ENSG00000115947.14,ORC4,2
ENSG00000115966.18,ATF2,9
ENSG00000116001.17,TIA1,13
ENSG00000116005.12,PCYOX1,13
ENSG00000116017.11,ARID3A,3
ENSG00000116171.19,SCP2,3
ENSG00000116198.14,CEP104,14
ENSG00000116209.12,TMEM59,16
ENSG00000116251.11,RPL22,16
ENSG00000116455.14,WDR77,13
